===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 ActionScript          691        57936        41741         1347        14848
 Ada                     2           53           32            9           12
 Alex                   40         1533         1298            0          235
 AsciiDoc              212        26420        18579         1142         6699
 ASP                     6          683          661            5           17
 Assembly               52        38910        33852          360         4698
 GNU Style Assembly    225       129662       114361         3259        12042
 AutoHotKey              3          798          426          186          186
 Autoconf              229        32718        24422         5166         3130
 Automake               16         1367          777          395          195
 BASH                  732        38305        27334         5687         5284
 Batch                 133         4878         3889           96          893
 C                    4616     10895492     10438450       294698       162344
 C Header             4747      1107137       785914       201400       119823
 CMake                 719        45296        34175         5175         5946
 C#                    979       707636       456665       170558        80413
 C Shell                 1           26           12            5            9
 Cabal                   3          554          513           13           28
 Clojure                22          736          608           29           99
 COBOL                   6           60           48            0           12
 CoffeeScript            3          785          567          110          108
 Coq                     2          344          320            0           24
 C++                  1509      1595658      1360204        95679       139775
 C++ Header            504       292612       212572        16479        63561
 Crystal                 5          249          203            4           42
 CSS                  2926       456085       391753        22319        42013
 D                       4          312           98          186           28
 Dart                  111        39747        33908         1442         4397
 Device Tree             7          363          337            3           23
 Dockerfile            626        20845        13748         3092         4005
 Edn                     1         2021         2021            0            0
 Emacs Lisp             24         4671         3633          450          588
 Elixir                390        29856        22496         2016         5344
 Elm                     5          412          245           28          139
 Elvish                 10          977          928           19           30
 Erlang                516         9146         7845          145         1156
 F#                    413        39135        33506         1679         3950
 Fish                   39         1935         1682          121          132
 FlatBuffers Schema     22         1999          936          746          317
 Forth                  19          381          344            0           37
 FORTRAN Legacy          2          646          501          145            0
 FORTRAN Modern          2          238          200            0           38
 FreeMarker            638        38787        36530            0         2257
 GDB Script             19          312          159           95           58
 GDScript               15          747          506           80          161
 Gherkin (Cucumber)      2          315          203           79           33
 Gleam                  50         2381         1961          213          207
 GLSL                  619        40901        26398         6309         8194
 Go                    629       127459        97662        16479        13318
 GraphQL              1348       103520        81586         4235        17699
 Groovy                  4          171          102           36           33
 Handlebars            282        12230        10694          305         1231
 Happy                  60        48474        43642            0         4832
 Haskell                18          365          245           38           82
 HCL                  1966       112494        85621         9258        17615
 Headache              136        15389        12526         1512         1351
 HEX                    24           24           24            0            0
 HLSL                  233        29495        23436         1774         4285
 INI                   170         7709         5906          667         1136
 Java                 2698       607809       371568       169862        66379
 JavaScript          35152      3266196      2700619       357548       208029
 JSON                24221     16159272     16158319            0          953
 Jsonnet                 3          295          270            0           25
 JSX                   244        12275        10405          353         1517
 Julia                   4          370          259           32           79
 Kakoune script          1            6            5            0            1
 Kotlin                416        27415        22103         1076         4236
 LLVM                    3          390          305           21           64
 Lean                    2          136           57           49           30
 LESS                   12          950          808           14          128
 LD Script              47          453          442            7            4
 Liquid                153         2101         1844           13          244
 Lisp                    3          169          138            7           24
 LiveScript              2          166          138            4           24
 Lua                   507       520064       256255       235862        27947
 Makefile              813        86177        60992         9748        15437
 Meson                  30         1225         1076           42          107
 Module-Definition    3870       181659       181427            0          232
 MSBuild                65          717          585           36           96
 Mustache               10         3472         3191            4          277
 Nim                     2           82           64            4           14
 Nix                   236        24143        20408         2107         1628
 OCaml                  24        34313        30289         2270         1754
 Objective-C            63        12106         8468         1602         2036
 Objective-C++          12         1182          795          187          200
 Org                     8         1218         1118            1           99
 Pan                   182        15378        13819          163         1396
 Pascal                  8         7344         5911          882          551
 Perl                  152        73702        62371         4466         6865
 Pest                   49         4496         3338          553          605
 PHP                   162         8155         4270         2683         1202
 PostCSS                 1            4            4            0            0
 PowerShell            267        13807        10728         1564         1515
 Prolog                 16         1036          969            1           66
 Protocol Buffers     1559       141508        82520        39660        19328
 PureScript              4          196          134           10           52
 Python               5886      1470085      1173406       104561       192118
 QML                    97        13854        11838          779         1237
 R                       7          663          539           36           88
 Rusty Object Nota|   1929       100638        97845         2109          684
 RPM Specfile          149        10846         8553          586         1707
 Racket                  2          112           81            9           22
 Rakefile               89         2441         2015           96          330
 ReStructuredText      615        95018        66684            0        28334
 Ruby                13793      1813478      1455503       108544       249431
 Sass                  507        54298        41714         3860         8724
 Scala                1312       199088       147116        30899        21073
 Scheme                441        25013        18726         1825         4462
 Scons                   1          159          133            1           25
 Shell                4378       229190       163483        30981        34726
 Standard ML (SML)       2           94           66            0           28
 Solidity             1077        47218        30491         9192         7535
 SQL                  2904       210408       168022        20128        22258
 Stylus                  2          180           96           58           26
 SVG                  7987       757755       745433         6746         5576
 Swift                 531        56514        40763         6852         8899
 SWIG                    1           45           25            7           13
 SystemVerilog           2          206          163            3           40
 TCL                    82        13587        11222          784         1581
 Tera                   89        11018        10389           73          556
 TeX                    59        14762        10515         2313         1934
 Plain Text           6237      4026315            0      3872517       153798
 Thrift                 44        10231         5195         3566         1470
 TOML                20001       716473       588934        45799        81740
 TSX                  1488       120056       103759         4412        11885
 Twig                    1            1            1            0            0
 TypeScript          11652       846932       675972        90983        79977
 Unreal Plugin           2           48           48            0            0
 Unreal Script           6           24           24            0            0
 VB6                     1         1218         1121            0           97
 Vim script            136        17933        16123          506         1304
 Visual Studio Pro|     19         4445         4445            0            0
 Visual Studio Sol|     14          761          749            0           12
 WebAssembly           747       393535       378272         4316        10947
 XSL                     6          482          414            7           61
 XAML                    2          528          435           53           40
 Xcode Config           21          143          121           16            6
 XML                  2027       338198       329466         3212         5520
 YAML                 6175      1795247      1739887        27110        28250
 Zig                    33        19084        16825          619         1640
 Zsh                    28         2731         2315          197          219
-------------------------------------------------------------------------------
 HTML                14005       523332       464163        10738        48431
 |- CSS               2694        33626        31459          355         1812
 |- HTML                24          137          135            0            2
 |- JavaScript        9164       420489       406651         1522        12316
 |- JSON                 2            6            6            0            0
 |- Plain Text           9            9            0            9            0
 (Total)                         977599       902414        12624        62561
-------------------------------------------------------------------------------
 Jupyter Notebooks      38            0            0            0            0
 |- Markdown            35         1875          116         1217          542
 |- Python              30         3025         2454          275          296
 |- Rust                 7          142          139            1            2
 (Total)                           5042         2709         1493          840
-------------------------------------------------------------------------------
 Markdown            26713      2878105            0      1995351       882754
 |- Assembly             1           10           10            0            0
 |- BASH              1598        20024        17219         1623         1182
 |- Batch                3           15           11            2            2
 |- C                  306         4270         3309          432          529
 |- CMake                4           66           55            5            6
 |- C#                   2           27           24            0            3
 |- CoffeeScript        10           98           72           13           13
 |- C++                 47         1990         1564          232          194
 |- CSS                 16          195          171           11           13
 |- D                    1           10            5            3            2
 |- Dart                47          880          726           68           86
 |- Dhall                1           25           24            0            1
 |- Dockerfile          11          615          309          142          164
 |- Edn                  3          151          150            0            1
 |- Elixir              12          123          102           11           10
 |- Elm                  5          400          346            0           54
 |- Erlang               2           38           21            6           11
 |- F#                   7          768          550          130           88
 |- Fish                43          226          226            0            0
 |- GDScript             1           13            8            0            5
 |- GLSL                15          380          307           13           60
 |- Go                  49          793          676           43           74
 |- GraphQL            239         6772         6228          292          252
 |- Groovy               4           39           34            3            2
 |- Handlebars           7           46           45            1            0
 |- Haskell              8           38           33            1            4
 |- HLSL                 1           21           21            0            0
 |- HTML               117         1514         1371           58           85
 |- INI                 36          482          353           80           49
 |- Java                32         2462         1644          551          267
 |- JavaScript         692        67607        55231         7309         5067
 |- JSON               507        27651        27627            0           24
 |- Jsonnet              1           10           10            0            0
 |- JSX                 75         1273         1108           61          104
 |- Julia                1           23           11            9            3
 |- Kotlin               7           56           44            8            4
 |- LLVM                 1          226          191            2           33
 |- LESS                 1           29           24            0            5
 |- Liquid               1           21           21            0            0
 |- Lisp                 7          401          277           88           36
 |- Lua                351         7618         5831         1132          655
 |- Makefile             7          106           60           26           20
 |- Markdown            28          375            0          278           97
 |- Nix                 27          470          260          157           53
 |- Perl                 1            1            1            0            0
 |- PHP                  4          138          104           12           22
 |- PowerShell         158          841          695           64           82
 |- Prolog               1          151          124            0           27
 |- Python             646        20073        16067         2309         1697
 |- QML                  4          156          130           18            8
 |- R                    1           33           21            8            4
 |- Ruby                71         2163         1730          160          273
 |- Rust              4117       225741       175036        22449        28256
 |- Scala                6          137           71           49           17
 |- Scheme               1           11            9            0            2
 |- Shell              757        12833        11396          509          928
 |- Solidity             4          298          224           50           24
 |- SQL                592        13377        11854          658          865
 |- Swift                8          714          415          168          131
 |- TOML              1915        35269        26176         4969         4124
 |- TSX                  4           80           72            1            7
 |- TypeScript         135         6015         4554          970          491
 |- Vue                  1           61           56            0            5
 |- XML                 36          586          555           16           15
 |- YAML               243         8329         7357          604          368
 |- Zsh                 12           55           31           18            6
 (Total)                        3353524       382987      2041173       929364
-------------------------------------------------------------------------------
 Ruby HTML              74         2820         2575            1          244
 |- CSS                  3            7            4            3            0
 |- JavaScript           2           28           28            0            0
 (Total)                           2855         2607            4          244
-------------------------------------------------------------------------------
 Rust               161762     55200965     49237219      1724812      4238934
 |- Markdown         80064      4897582       124899      4166545       606138
 (Total)                       60098547     49362118      5891357      4845072
-------------------------------------------------------------------------------
 Svelte                443        18594        16617          831         1146
 |- CSS                146         2889         2436           69          384
 |- JavaScript         426        18664        15296          556         2812
 (Total)                          40147        34349         1456         4342
-------------------------------------------------------------------------------
 Vue                   292         4102         2972           22         1108
 |- CSS                105         3855         3294           63          498
 |- HTML               290         9000         8083          175          742
 |- JavaScript         281        15747        14303          410         1034
 (Total)                          32704        28652          670         3382
===============================================================================
 Total              391697    109388350     92307490      9821614      7259246
===============================================================================
