id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
133442384,deno,denoland/deno,2022-10-23T20:13:40Z,2018-05-15T01:34:26Z,2022-10-23T19:29:37Z,80864,85979,4646,1052,main,0e1167d12d116be7ba1855252b5ca4d668bf3472
724712,rust,rust-lang/rust,2022-10-23T20:07:14Z,2010-06-16T20:39:03Z,2022-10-23T19:56:05Z,993483,73561,9931,9185,master,1ca6777c014813e3bdb98d155562fc3d111d86dd
196701619,tauri,tauri-apps/tauri,2022-10-23T19:22:19Z,2019-07-13T09:09:37Z,2022-10-23T19:46:40Z,68016,53075,1357,243,dev,cb6ee77e697d15082ab4fb5c5d30e4b4a7cd7db6
51980455,alacritty,alacritty/alacritty,2022-10-23T20:15:48Z,2016-02-18T05:02:30Z,2022-10-23T19:22:29Z,12153,42504,2493,320,master,e3af53c863ee55b2862954f156e168c1e8da26e2
130464961,bat,sharkdp/bat,2022-10-23T19:22:04Z,2018-04-21T10:52:23Z,2022-10-22T14:08:47Z,30423,37725,996,168,master,f215d07366dac50aa7068e9c3f8d5f46b09b4c1a
53631945,ripgrep,BurntSushi/ripgrep,2022-10-23T20:19:47Z,2016-03-11T02:02:33Z,2022-10-20T13:22:41Z,4374,33836,1518,170,master,eab044d829e1f5bcd1d3fd6a6f49ff732240da09
42489829,rustlings,rust-lang/rustlings,2022-10-23T19:56:12Z,2015-09-15T02:25:18Z,2022-10-23T18:29:37Z,1827,30852,5003,93,main,b17295b36fbfa02f4068a71502dba015b6f20b7d
299354207,rustdesk,rustdesk/rustdesk,2022-10-23T20:10:40Z,2020-09-28T15:36:08Z,2022-10-23T17:09:13Z,12641,30710,2689,342,master,a2cb295a11c41b1b35bcdc23c0e7875f0e9dea81
130688011,meilisearch,meilisearch/meilisearch,2022-10-23T19:35:59Z,2018-04-23T11:45:28Z,2022-10-23T14:11:45Z,43816,30331,1087,86,main,f2279f461555b3ebe2e01b560fe7c258ad6ea525
178991158,starship,starship/starship,2022-10-23T19:38:25Z,2019-04-02T03:23:12Z,2022-10-23T20:19:17Z,29035,29779,1245,476,master,a40f4c9794188491e514b82510d850f4223357aa
21938243,awesome-rust,rust-unofficial/awesome-rust,2022-10-23T19:10:01Z,2014-07-17T10:45:10Z,2022-10-20T11:15:31Z,5963,29481,1940,11,main,a29727ff0878ff5b7177218bc29a5d3c1d5399d7
90793418,fd,sharkdp/fd,2022-10-23T18:10:22Z,2017-05-09T21:27:10Z,2022-10-23T16:40:18Z,1447,24994,652,83,master,425703420929d0bbe83b592abe4e2d2e20885132
114466145,yew,yewstack/yew,2022-10-23T19:22:38Z,2017-12-16T14:19:02Z,2022-10-23T08:01:19Z,10724,24643,1190,103,master,da09755c27bfeb113e0c4b1096214a826f1e8388
115110181,swc,swc-project/swc,2022-10-23T19:47:04Z,2017-12-22T11:40:14Z,2022-10-23T14:34:18Z,238186,24340,820,303,main,c025cd01cefd178f7be43ac7832c64e36079e0e1
186024298,nushell,nushell/nushell,2022-10-23T17:53:42Z,2019-05-10T16:59:42Z,2022-10-23T20:21:05Z,30590,21209,1042,516,main,ebca840d91e81c070800e39cea07325d25b4fc54
120425779,lapce,lapce/lapce,2022-10-23T20:00:35Z,2018-02-06T08:41:06Z,2022-10-23T14:42:39Z,18872,19755,567,443,master,de9655543c17069f7ebe4963b34adf439d4fd637
107505869,firecracker,firecracker-microvm/firecracker,2022-10-23T19:25:17Z,2017-10-19T06:18:47Z,2022-10-22T16:45:34Z,22941,19698,1417,145,main,87e0613b8be73657e53745902a070b446cad03ef
57167764,xi-editor,xi-editor/xi-editor,2022-10-23T10:20:49Z,2016-04-26T23:03:23Z,2022-10-21T03:30:00Z,9678,19646,711,150,master,f3b4d3909da66b24adfac1c4613923491df0d846
20060596,exa,ogham/exa,2022-10-23T18:19:13Z,2014-05-22T12:45:16Z,2022-10-17T05:54:41Z,3709,19569,580,277,master,e385cd58da9d2e86425250b108e87e4a69904f5c
241805592,tools,rome/tools,2022-10-23T18:34:10Z,2020-02-20T05:57:33Z,2022-10-23T08:29:36Z,177678,19497,598,100,main,c0250a78ae377d4c99860e9980b4e1d30e40c3d2
121898717,vaultwarden,dani-garcia/vaultwarden,2022-10-23T18:41:20Z,2018-02-17T22:40:20Z,2022-10-23T16:35:01Z,6828,19416,1004,17,main,b525f9aa4ce4c11637928dbb5ed932320b8bfc66
